,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,77,71.0,92.0
BA9,Tech Educat DXR,5,-10.0,-200.0
Q71,DXR Opt and upgr SV,1184,11.0,1.0
V24,Clin Educat DXR,730,-32.0,-4.0
X19,DXR Upgrades,924,38.0,4.0
CF4,DXR Prof Services,0,-4.0,
