,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,155,140.0,90.0
BA9,Tech Educat DXR,12,-10.0,-83.0
Q71,DXR Opt and upgr SV,2197,153.0,7.0
V24,Clin Educat DXR,1196,247.0,21.0
X19,DXR Upgrades,1716,246.0,14.0
CF4,DXR Prof Services,30,24.0,80.0
