,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
0,Maximizer DXR,278,365.0,131.0
1,Tech Educat DXR,21,-5.0,-24.0
2,DXR Opt and upgr SV,3577,784.0,22.0
3,Clin Educat DXR,1747,636.0,36.0
4,DXR Upgrades,2292,338.0,15.0
5,DXR Prof Services,13,8.0,62.0
6,Total,7928,2126.0,26.8
