,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,188,171.0,91.0
BA9,Tech Educat DXR,19,-7.0,-37.0
Q71,DXR Opt and upgr SV,2985,468.0,16.0
V24,Clin Educat DXR,1411,379.0,27.0
X19,DXR Upgrades,1867,273.0,15.0
CF4,DXR Prof Services,13,8.0,62.0
