,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,223,197.0,88.0
BA9,Tech Educat DXR,20,-6.0,-30.0
Q71,DXR Opt and upgr SV,3341,658.0,20.0
V24,Clin Educat DXR,1534,415.0,27.0
X19,DXR Upgrades,2092,368.0,18.0
CF4,DXR Prof Services,13,8.0,62.0
