,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,127,115.0,91.0
BA9,Tech Educat DXR,11,-10.0,-91.0
Q71,DXR Opt and upgr SV,1740,-136.0,-8.0
V24,Clin Educat DXR,956,-94.0,-10.0
X19,DXR Upgrades,1517,169.0,11.0
CF4,DXR Prof Services,17,12.0,71.0
