,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,105,95.0,90.0
BA9,Tech Educat DXR,6,-12.0,-200.0
Q71,DXR Opt and upgr SV,1477,-39.0,-3.0
V24,Clin Educat DXR,866,-47.0,-5.0
X19,DXR Upgrades,1216,104.0,9.0
CF4,DXR Prof Services,0,-4.0,
