,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,21,20.0,95.0
BA9,Tech Educat DXR,-1,-11.0,1100.0
Q71,DXR Opt and upgr SV,457,3.0,1.0
V24,Clin Educat DXR,304,120.0,39.0
X19,DXR Upgrades,224,-2.0,-1.0
CF4,DXR Prof Services,0,-4.0,
