,MAG Description,Achieved in Euros,iGM (M €),iGM k euros %
BA8,Maximizer DXR,54,49.0,91.0
BA9,Tech Educat DXR,0,-13.0,
Q71,DXR Opt and upgr SV,817,130.0,16.0
V24,Clin Educat DXR,508,56.0,11.0
X19,DXR Upgrades,383,-125.0,-33.0
CF4,DXR Prof Services,0,-4.0,
